uf,valor,variavel
Rondônia,1581196.0,População residente
Rondônia,237754.172,Área da unidade territorial
Rondônia,6.65,Densidade demográfica
Acre,830018.0,População residente
Acre,164173.429,Área da unidade territorial
Acre,5.06,Densidade demográfica
Amazonas,3941613.0,População residente
Amazonas,1559255.881,Área da unidade territorial
Amazonas,2.53,Densidade demográfica
Roraima,636707.0,População residente
Roraima,223644.53,Área da unidade territorial
Roraima,2.85,Densidade demográfica
Pará,8120131.0,População residente
Pará,1245870.704,Área da unidade territorial
Pará,6.52,Densidade demográfica
Amapá,733759.0,População residente
Amapá,142470.762,Área da unidade territorial
Amapá,5.15,Densidade demográfica
Tocantins,1511460.0,População residente
Tocantins,277423.627,Área da unidade territorial
Tocantins,5.45,Densidade demográfica
Maranhão,6776699.0,População residente
Maranhão,329651.496,Área da unidade territorial
Maranhão,20.56,Densidade demográfica
Piauí,3271199.0,População residente
Piauí,251755.481,Área da unidade territorial
Piauí,12.99,Densidade demográfica
Ceará,8794957.0,População residente
Ceará,148894.447,Área da unidade territorial
Ceará,59.07,Densidade demográfica
Rio Grande do Norte,3302729.0,População residente
Rio Grande do Norte,52809.599,Área da unidade territorial
Rio Grande do Norte,62.54,Densidade demográfica
Paraíba,3974687.0,População residente
Paraíba,56467.242,Área da unidade territorial
Paraíba,70.39,Densidade demográfica
Pernambuco,9058931.0,População residente
Pernambuco,98067.877,Área da unidade territorial
Pernambuco,92.37,Densidade demográfica
Alagoas,3127683.0,População residente
Alagoas,27830.661,Área da unidade territorial
Alagoas,112.38,Densidade demográfica
Sergipe,2210004.0,População residente
Sergipe,21938.188,Área da unidade territorial
Sergipe,100.74,Densidade demográfica
Bahia,14141626.0,População residente
Bahia,564760.429,Área da unidade territorial
Bahia,25.04,Densidade demográfica
Minas Gerais,20539989.0,População residente
Minas Gerais,586513.983,Área da unidade territorial
Minas Gerais,35.02,Densidade demográfica
Espírito Santo,3833712.0,População residente
Espírito Santo,46074.448,Área da unidade territorial
Espírito Santo,83.21,Densidade demográfica
Rio de Janeiro,16055174.0,População residente
Rio de Janeiro,43750.425,Área da unidade territorial
Rio de Janeiro,366.97,Densidade demográfica
São Paulo,44411238.0,População residente
São Paulo,248219.485,Área da unidade territorial
São Paulo,178.92,Densidade demográfica
Paraná,11444380.0,População residente
Paraná,199298.981,Área da unidade territorial
Paraná,57.42,Densidade demográfica
Santa Catarina,7610361.0,População residente
Santa Catarina,95730.69,Área da unidade territorial
Santa Catarina,79.5,Densidade demográfica
Rio Grande do Sul,10882965.0,População residente
Rio Grande do Sul,281707.151,Área da unidade territorial
Rio Grande do Sul,38.63,Densidade demográfica
Mato Grosso do Sul,2757013.0,População residente
Mato Grosso do Sul,357142.082,Área da unidade territorial
Mato Grosso do Sul,7.72,Densidade demográfica
Mato Grosso,3658649.0,População residente
Mato Grosso,903208.361,Área da unidade territorial
Mato Grosso,4.05,Densidade demográfica
Goiás,7056495.0,População residente
Goiás,340242.859,Área da unidade territorial
Goiás,20.74,Densidade demográfica
Distrito Federal,2817381.0,População residente
Distrito Federal,5760.784,Área da unidade territorial
Distrito Federal,489.06,Densidade demográfica
