CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,16135
2017,All,California,25-34,27594
2017,All,California,35-44,24866
2017,All,California,45-54,26539
2017,All,California,55-64,23051
2017,All,California,65+,7406
2017,All,California,Invalid,93
2017,All,California,Under 18,50937
2017,All,California,Unknown,3241
2017,CA-500,Santa Clara County CoC,18-24,775
2017,CA-500,Santa Clara County CoC,25-34,1500
2017,CA-500,Santa Clara County CoC,35-44,1433
2017,CA-500,Santa Clara County CoC,45-54,1633
2017,CA-500,Santa Clara County CoC,55-64,1493
2017,CA-500,Santa Clara County CoC,65+,492
2017,CA-500,Santa Clara County CoC,Invalid,*
2017,CA-500,Santa Clara County CoC,Under 18,2340
2017,CA-500,Santa Clara County CoC,Unknown,*
2017,CA-501,San Francisco CoC,18-24,542
2017,CA-501,San Francisco CoC,25-34,470
2017,CA-501,San Francisco CoC,35-44,491
2017,CA-501,San Francisco CoC,45-54,595
2017,CA-501,San Francisco CoC,55-64,513
2017,CA-501,San Francisco CoC,65+,191
2017,CA-501,San Francisco CoC,Invalid,*
2017,CA-501,San Francisco CoC,Under 18,1498
2017,CA-501,San Francisco CoC,Unknown,53
2017,CA-502,Alameda County CoC,18-24,860
2017,CA-502,Alameda County CoC,25-34,941
2017,CA-502,Alameda County CoC,35-44,753
2017,CA-502,Alameda County CoC,45-54,917
2017,CA-502,Alameda County CoC,55-64,911
2017,CA-502,Alameda County CoC,65+,310
2017,CA-502,Alameda County CoC,Invalid,*
2017,CA-502,Alameda County CoC,Under 18,1840
2017,CA-502,Alameda County CoC,Unknown,25
2017,CA-503,Sacramento County CoC,18-24,946
2017,CA-503,Sacramento County CoC,25-34,1668
2017,CA-503,Sacramento County CoC,35-44,1494
2017,CA-503,Sacramento County CoC,45-54,1646
2017,CA-503,Sacramento County CoC,55-64,1226
2017,CA-503,Sacramento County CoC,65+,322
2017,CA-503,Sacramento County CoC,Invalid,*
2017,CA-503,Sacramento County CoC,Under 18,3842
2017,CA-503,Sacramento County CoC,Unknown,*
2017,CA-504,Sonoma County CoC,18-24,272
2017,CA-504,Sonoma County CoC,25-34,427
2017,CA-504,Sonoma County CoC,35-44,440
2017,CA-504,Sonoma County CoC,45-54,474
2017,CA-504,Sonoma County CoC,55-64,463
2017,CA-504,Sonoma County CoC,65+,149
2017,CA-504,Sonoma County CoC,Invalid,*
2017,CA-504,Sonoma County CoC,Under 18,665
