CALENDAR_YEAR,LOCATION_ID,PERSONSWITHDISABILITY
2017,All,71586
2017,CA-500,4581
2017,CA-501,1350
2017,CA-502,3658
2017,CA-503,5812
2017,CA-504,1634
2017,CA-505,2418
2017,CA-506,827
2017,CA-507,929
2017,CA-508,931
2017,CA-509,498
2017,CA-510,1680
2017,CA-511,1712
2017,CA-512,1354
2017,CA-513,1059
2017,CA-514,1084
2017,CA-515,814
2017,CA-516,70
2017,CA-517,606
2017,CA-518,489
2017,CA-519,968
2017,CA-520,375
2017,CA-521,256
2017,CA-522,498
2017,CA-523,20
2017,CA-524,*
2017,CA-525,79
2017,CA-526,213
2017,CA-527,223
2017,CA-529,26
2017,CA-530,52
2017,CA-531,308
2017,CA-600,18534
2017,CA-601,5625
2017,CA-602,3490
2017,CA-603,1458
2017,CA-604,922
2017,CA-606,1144
2017,CA-607,683
2017,CA-608,3316
2017,CA-609,2049
2017,CA-611,893
2017,CA-612,204
2017,CA-613,51
2017,CA-614,670
2018,All,84488
2018,CA-500,4862
2018,CA-501,2392
2018,CA-502,3739
2018,CA-503,5955
2018,CA-504,1702
2018,CA-505,3125
2018,CA-506,1155
2018,CA-507,856
2018,CA-508,981
2018,CA-509,423
2018,CA-510,2417
2018,CA-511,2400
2018,CA-512,1628
2018,CA-513,1035
2018,CA-514,1330
2018,CA-515,926
2018,CA-516,207
2018,CA-517,665
2018,CA-518,480
2018,CA-519,1053
2018,CA-520,550
2018,CA-521,428
2018,CA-522,493
2018,CA-523,55
2018,CA-524,*
2018,CA-525,97
2018,CA-526,256
2018,CA-527,213
2018,CA-529,44
2018,CA-530,74
2018,CA-531,425
2018,CA-600,23227
2018,CA-601,7578
2018,CA-602,4199
2018,CA-603,1559
2018,CA-604,1243
2018,CA-606,1136
2018,CA-607,919
2018,CA-608,3350
2018,CA-609,1811
2018,CA-611,761
2018,CA-612,247
2018,CA-613,85
2018,CA-614,723
2019,All,97800
2019,CA-500,5455
2019,CA-501,4084
2019,CA-502,4435
2019,CA-503,5823
2019,CA-504,1809
2019,CA-505,3598
2019,CA-506,1113
2019,CA-507,737
2019,CA-508,1195
2019,CA-509,519
2019,CA-510,2815
2019,CA-511,2641
2019,CA-512,1704
2019,CA-513,1021
2019,CA-514,1504
2019,CA-515,967
2019,CA-516,352
2019,CA-517,709
2019,CA-518,636
2019,CA-519,1234
2019,CA-520,833
2019,CA-521,484
2019,CA-522,795
2019,CA-523,76
2019,CA-524,13
2019,CA-525,113
2019,CA-526,242
2019,CA-527,214
2019,CA-529,95
2019,CA-530,41
2019,CA-531,500
2019,CA-600,27125
2019,CA-601,9014
2019,CA-602,5706
2019,CA-603,1787
2019,CA-604,1640
2019,CA-606,1269
2019,CA-607,989
2019,CA-608,3260
2019,CA-609,2016
2019,CA-611,966
2019,CA-612,198
2019,CA-613,75
2019,CA-614,826
2020,All,107299
2020,CA-500,6005
2020,CA-501,6490
2020,CA-502,5089
2020,CA-503,5770
2020,CA-504,1739
2020,CA-505,3779
2020,CA-506,1113
2020,CA-507,653
2020,CA-508,1158
2020,CA-509,715
2020,CA-510,2442
2020,CA-511,1889
2020,CA-512,1747
2020,CA-513,1133
2020,CA-514,2191
2020,CA-515,1034
2020,CA-516,848
2020,CA-517,625
2020,CA-518,853
2020,CA-519,1190
2020,CA-520,756
2020,CA-521,822
2020,CA-522,865
2020,CA-523,155
2020,CA-524,245
2020,CA-525,195
2020,CA-526,272
2020,CA-527,267
2020,CA-529,120
2020,CA-530,44
2020,CA-531,443
2020,CA-600,29009
2020,CA-601,9877
2020,CA-602,5850
2020,CA-603,1733
2020,CA-604,2253
2020,CA-606,1376
2020,CA-607,841
2020,CA-608,3398
2020,CA-609,2623
2020,CA-611,1307
2020,CA-612,286
2020,CA-613,170
2020,CA-614,735
2021,All,123102
2021,CA-500,6538
2021,CA-501,8254
2021,CA-502,5995
2021,CA-503,6049
2021,CA-504,1589
2021,CA-505,3919
2021,CA-506,1280
2021,CA-507,960
2021,CA-508,1274
2021,CA-509,880
2021,CA-510,2574
2021,CA-511,1829
2021,CA-512,1961
2021,CA-513,1224
2021,CA-514,3345
2021,CA-515,1321
2021,CA-516,1159
2021,CA-517,485
2021,CA-518,962
2021,CA-519,1313
2021,CA-520,1009
2021,CA-521,732
2021,CA-522,973
2021,CA-523,253
2021,CA-524,898
2021,CA-525,222
2021,CA-526,312
2021,CA-527,110
2021,CA-529,162
2021,CA-530,73
2021,CA-531,537
2021,CA-600,32388
2021,CA-601,11716
2021,CA-602,6750
2021,CA-603,2136
2021,CA-604,3550
2021,CA-606,1701
2021,CA-607,681
2021,CA-608,3558
2021,CA-609,2621
2021,CA-611,1407
2021,CA-612,295
2021,CA-613,308
2021,CA-614,948
2022,All,145406
2022,CA-500,7501
2022,CA-501,11475
2022,CA-502,7531
2022,CA-503,6643
2022,CA-504,1582
2022,CA-505,4275
2022,CA-506,1473
2022,CA-507,1077
2022,CA-508,960
2022,CA-509,1022
2022,CA-510,3305
2022,CA-511,2239
