CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,All,"American Indian, Alaska Native, or Indigenous",Alone,1906
2017,All,"American Indian, Alaska Native, or Indigenous",In_Combination,7358
2017,All,Asian or Asian American,Alone,2710
2017,All,Asian or Asian American,In_Combination,1543
2017,All,"Black, African American or African",Alone,52961
2017,All,"Black, African American or African",In_Combination,7612
2017,All,Hispanic/Latina/e/o,Alone,4182
2017,All,Hispanic/Latina/e/o,In_Combination,54836
2017,All,Native Hawaiian or Pacific Islander,Alone,1923
2017,All,Native Hawaiian or Pacific Islander,In_Combination,1872
2017,All,White,Alone,50871
2017,All,White,In_Combination,51996
2017,CA-500,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Asian or Asian American,Alone,377
2017,CA-500,Asian or Asian American,In_Combination,133
2017,CA-500,"Black, African American or African",Alone,1382
2017,CA-500,"Black, African American or African",In_Combination,355
2017,CA-500,Hispanic/Latina/e/o,Alone,284
2017,CA-500,Hispanic/Latina/e/o,In_Combination,4492
2017,CA-500,Native Hawaiian or Pacific Islander,Alone,176
2017,CA-500,Native Hawaiian or Pacific Islander,In_Combination,175
2017,CA-500,White,Alone,2465
2017,CA-500,White,In_Combination,4057
2017,CA-501,"American Indian, Alaska Native, or Indigenous",Alone,68
2017,CA-501,"American Indian, Alaska Native, or Indigenous",In_Combination,294
2017,CA-501,Asian or Asian American,Alone,175
2017,CA-501,Asian or Asian American,In_Combination,52
2017,CA-501,"Black, African American or African",Alone,1597
2017,CA-501,"Black, African American or African",In_Combination,227
2017,CA-501,Hispanic/Latina/e/o,Alone,208
2017,CA-501,Hispanic/Latina/e/o,In_Combination,987
2017,CA-501,Native Hawaiian or Pacific Islander,Alone,96
2017,CA-501,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,White,Alone,800
2017,CA-501,White,In_Combination,754
2017,CA-502,"American Indian, Alaska Native, or Indigenous",Alone,67
2017,CA-502,"American Indian, Alaska Native, or Indigenous",In_Combination,399
2017,CA-502,Asian or Asian American,Alone,168
2017,CA-502,Asian or Asian American,In_Combination,123
2017,CA-502,"Black, African American or African",Alone,3463
2017,CA-502,"Black, African American or African",In_Combination,599
2017,CA-502,Hispanic/Latina/e/o,Alone,45
2017,CA-502,Hispanic/Latina/e/o,In_Combination,1224
2017,CA-502,Native Hawaiian or Pacific Islander,Alone,74
2017,CA-502,Native Hawaiian or Pacific Islander,In_Combination,150
2017,CA-502,White,Alone,965
2017,CA-502,White,In_Combination,1106
2017,CA-503,"American Indian, Alaska Native, or Indigenous",Alone,146
2017,CA-503,"American Indian, Alaska Native, or Indigenous",In_Combination,476
